knoop_nummer;kenmerkende_factor_code;parameter_1;parameter_2;operator;waarde_1;waarde_2;knoop_doel_true;onthouden_doel_true;knoop_doel_false;onthouden_doel_false
1;KMZ_001;300;;=;1;0;20;0;2;0
2;KMT_003;act_3;;=;0;0;3;0;6;0
3;KMT_003;act_4;;=;0;0;4;0;6;0
4;KMT_003;act_5;;=;0;0;5;0;6;0
5;KMT_001;act_9;;=;0;0;26;0;6;0
6;KMA_002;;;<;250;0;30;0;7;0
7;KMN_001;as1_1;;=;1;0;8;0;10;0
8;KMN_001;as1_1.05;;=;1;0;33;0;9;0
9;KMN_001;as1_1.04;;=;1;0;40;0;47;0
10;KMN_001;as1_2;;=;1;0;53;0;11;0
11;KMN_001;as1_4;;=;1;0;12;0;13;0
12;KMN_001;as1_4.01;;=;1;0;59;0;65;0
13;KMN_001;as1_5;;=;1;0;71;0;14;0
14;KMN_001;as1_6;;=;1;0;15;0;16;0
15;KMN_001;as1_6.01;;=;1;0;79;0;86;0
16;KMN_001;as1_7;;=;1;0;92;0;17;0
17;KMN_001;as1_8;;=;1;0;99;0;18;0
18;KMN_001;as1_12;;=;1;0;104;0;19;0
19;KMN_001;as2_16;;=;1;0;110;0;118;0
20;KMA_003;;;<;100;0;;13;21;0
21;KMA_003;;;<;200;0;;14;22;0
22;KMA_003;;;<;400;0;;15;23;0
23;KMA_003;;;<;800;0;;16;24;0
24;KMA_003;;;<;1200;0;;165;25;0
25;KMA_003;;;<;1800;0;;213;;214
26;KMA_003;;;<;100;0;;7;27;0
27;KMA_003;;;<;200;0;;8;28;0
28;KMA_003;;;<;400;0;;9;29;0
29;KMA_003;;;<;800;0;;162;;307
30;KMA_003;;;<;100;0;;215;31;0
31;KMA_003;;;<;200;0;;216;32;0
32;KMA_003;;;<;400;0;;217;;264
33;KMA_003;;;<;800;0;;27;34;0
34;KMA_003;;;<;1800;0;;169;35;0
35;KMA_003;;;<;3000;0;;30;36;0
36;KMA_003;;;<;6000;0;;31;37;0
37;KMA_003;;;<;12000;0;;131;38;0
38;KMA_003;;;<;18000;0;;170;39;0
39;KMA_003;;;<;24000;0;;221;;222
40;KMA_003;;;<;800;0;;33;41;0
41;KMA_003;;;<;1800;0;;172;42;0
42;KMA_003;;;<;3000;0;;223;43;0
43;KMA_003;;;<;6000;0;;38;44;0
44;KMA_003;;;<;12000;0;;133;45;0
45;KMA_003;;;<;18000;0;;173;46;0
46;KMA_003;;;<;24000;0;;224;;225
47;KMA_003;;;<;800;0;;40;48;0
48;KMA_003;;;<;1800;0;;41;49;0
49;KMA_003;;;<;3000;0;;42;50;0
50;KMA_003;;;<;6000;0;;135;51;0
51;KMA_003;;;<;12000;0;;175;52;0
52;KMA_003;;;<;18000;0;;226;;227
53;KMA_003;;;<;800;0;;228;54;0
54;KMA_003;;;<;1800;0;;229;55;0
55;KMA_003;;;<;3000;0;;48;56;0
56;KMA_003;;;<;6000;0;;49;57;0
57;KMA_003;;;<;12000;0;;137;58;0
58;KMA_003;;;<;18000;0;;177;;178
59;KMA_003;;;<;800;0;;51;60;0
60;KMA_003;;;<;1800;0;;52;61;0
61;KMA_003;;;<;3000;0;;53;62;0
62;KMA_003;;;<;6000;0;;54;63;0
63;KMA_003;;;<;12000;0;;139;64;0
64;KMA_003;;;<;18000;0;;179;;180
65;KMA_003;;;<;800;0;;56;66;0
66;KMA_003;;;<;1800;0;;181;67;0
67;KMA_003;;;<;3000;0;;59;68;0
68;KMA_003;;;<;6000;0;;60;69;0
69;KMA_003;;;<;12000;0;;141;70;0
70;KMA_003;;;<;18000;0;;182;;183
71;KMA_003;;;<;800;0;;230;72;0
72;KMA_003;;;<;1800;0;;184;73;0
73;KMA_003;;;<;3000;0;;66;74;0
74;KMA_003;;;<;6000;0;;67;75;0
75;KMA_003;;;<;12000;0;;68;76;0
76;KMA_003;;;<;18000;0;;143;77;0
77;KMA_003;;;<;24000;0;;144;78;0
78;KMA_003;;;<;30000;0;;185;;186
79;KMA_003;;;<;800;0;;231;80;0
80;KMA_003;;;<;1800;0;;232;81;0
81;KMA_003;;;<;3000;0;;233;82;0
82;KMA_003;;;<;6000;0;;234;83;0
83;KMA_003;;;<;12000;0;;235;84;0
84;KMA_003;;;<;18000;0;;146;85;0
85;KMA_003;;;<;24000;0;;187;;188
86;KMA_003;;;<;800;0;;189;87;0
87;KMA_003;;;<;1800;0;;236;88;0
88;KMA_003;;;<;3000;0;;190;89;0
89;KMA_003;;;<;6000;0;;87;90;0
90;KMA_003;;;<;12000;0;;148;91;0
91;KMA_003;;;<;18000;0;;191;;192
92;KMA_003;;;<;800;0;;237;93;0
93;KMA_003;;;<;1800;0;;238;94;0
94;KMA_003;;;<;3000;0;;239;95;0
95;KMA_003;;;<;6000;0;;193;96;0
96;KMA_003;;;<;12000;0;;194;97;0
97;KMA_003;;;<;18000;0;;150;98;0
98;KMA_003;;;<;24000;0;;195;;196
99;KMA_003;;;<;800;0;;246;100;0
100;KMA_003;;;<;1800;0;;247;101;0
101;KMA_003;;;<;3000;0;;248;102;0
102;KMA_003;;;<;6000;0;;249;103;0
103;KMA_003;;;<;12000;0;;250;;251
104;KMA_003;;;<;800;0;;252;105;0
105;KMA_003;;;<;1800;0;;253;106;0
106;KMA_003;;;<;3000;0;;254;107;0
107;KMA_003;;;<;6000;0;;255;108;0
108;KMA_003;;;<;12000;0;;256;109;0
109;KMA_003;;;<;18000;0;;257;;258
110;KMA_003;;;<;800;0;;121;111;0
111;KMA_003;;;<;1800;0;;206;112;0
112;KMA_003;;;<;3000;0;;243;113;0
113;KMA_003;;;<;6000;0;;207;114;0
114;KMA_003;;;<;12000;0;;208;115;0
115;KMA_003;;;<;18000;0;;158;116;0
116;KMA_003;;;<;24000;0;;209;117;0
117;KMA_003;;;<;30000;0;;244;;245
118;KMA_003;;;<;800;0;;242;119;0
119;KMA_003;;;<;1800;0;;203;120;0
120;KMA_003;;;<;3000;0;;118;121;0
121;KMA_003;;;<;6000;0;;119;122;0
122;KMA_003;;;<;12000;0;;156;123;0
123;KMA_003;;;<;18000;0;;204;;205
